subsystem,entity_description,path_from_root,related_information
NIL,Build,./Piccolo/cmake,
SDK,,./Piccolo/engine/3rdparty,
NIL,Assets,./Piccolo/engine/asset,
NIL,Config files,./Piccolo/engine/configs,
NIL,Shader scripts,./Piccolo/engine/jolt-asset,
LLR,,./Piccolo/engine/shader,
EDI,,./Piccolo/engine/source/editor,
COR,,./Piccolo/engine/source/meta_parser,Part of the codes in engine/source/metaParser/Parser is derived from CPP-Reflection (https://github.com/AustinBrunkHorst/CPP-Reflection)
NIL,Build,./Piccolo/engine/source/precompile,
COR,,./Piccolo/engine/source/runtime/core,https://github.com/BoomingTech/Piccolo/wiki/Piccolo%E5%BC%95%E6%93%8E%E8%BF%90%E8%A1%8C%E6%97%B6%E6%9E%B6%E6%9E%84#%E6%A0%B8%E5%BF%83%E5%B1%82-core
COR,,./Piccolo/engine/source/runtime/engine.cpp,
COR,,./Piccolo/engine/source/runtime/engine.h,
SKA,,./Piccolo/engine/source/runtime/function/animation,
GMP,,./Piccolo/engine/source/runtime/function/character,
GMP,,./Piccolo/engine/source/runtime/function/controller,
SKA,,./Piccolo/engine/source/runtime/function/framework/component/animation,https://github.com/BoomingTech/Piccolo/wiki/Piccolo%E5%BC%95%E6%93%8E%E8%BF%90%E8%A1%8C%E6%97%B6%E6%9E%B6%E6%9E%84#%E6%A1%86%E6%9E%B6-framework
LLR,,./Piccolo/engine/source/runtime/function/framework/component/camera,
SKA,,./Piccolo/engine/source/runtime/function/framework/component/mesh,
COR,,./Piccolo/engine/source/runtime/function/framework/component/motor,
VFX,,./Piccolo/engine/source/runtime/function/framework/component/particle,
PHY,,./Piccolo/engine/source/runtime/function/framework/component/rigidbody,
LLR,,./Piccolo/engine/source/runtime/function/framework/component/transform,
GMP,,./Piccolo/engine/source/runtime/function/framework/level,
GMP,,./Piccolo/engine/source/runtime/function/framework/object,
GMP,,./Piccolo/engine/source/runtime/function/framework/world,
COR,,./Piccolo/engine/source/runtime/function/global,
HID,,./Piccolo/engine/source/runtime/function/input,
PHY,,./Piccolo/engine/source/runtime/function/physics,
LLR,,./Piccolo/engine/source/runtime/function/render,
FES,,./Piccolo/engine/source/runtime/function/ui,
PLA,,./Piccolo/engine/source/runtime/platform,
RES,,./Piccolo/engine/source/runtime/resource,
NIL,Tests,./Piccolo/engine/source/test,
NIL,Template files,./Piccolo/engine/template,
NIL,BAT files,./Piccolo/scripts,
