subsystem,entity_description,path_from_root,related_information
NIL,Docs,./gameplay/api,This folder is used to generate the doxygen api docs
NIL,Binaries,./gameplay/bin,
NIL,Build,./gameplay/build,
NIL,Android assets and config,./gameplay/android,
VFX,,./gameplay/gameplay/src/Light.cpp,https://github.com/gameplay3d/gameplay/wiki/Lights#pre-computed-lighting-maps
VFX,,./gameplay/gameplay/src/Light.h,
VFX,,./gameplay/gameplay/src/ParticleEmitter.cpp,https://github.com/gameplay3d/gameplay/wiki/Particle-emitters#particles-as-sprites
VFX,,./gameplay/gameplay/src/ParticleEmitter.h,
SKA,,./gameplay/gameplay/src/Animation.cpp,
SKA,,./gameplay/gameplay/src/Animation.h,
SKA,,./gameplay/gameplay/src/AnimationClip.cpp,
SKA,,./gameplay/gameplay/src/AnimationClip.h,
SKA,,./gameplay/gameplay/src/AnimationController.cpp,
SKA,,./gameplay/gameplay/src/AnimationController.h,
SKA,,./gameplay/gameplay/src/AnimationTarget.cpp,
SKA,,./gameplay/gameplay/src/AnimationTarget.h,
SKA,,./gameplay/gameplay/src/AnimationValue.cpp,
SKA,,./gameplay/gameplay/src/AnimationValue.h,
SKA,,./gameplay/gameplay/src/Bundle.cpp,
SKA,,./gameplay/gameplay/src/Bundle.h,
SKA,,./gameplay/gameplay/src/Joint.cpp,
SKA,,./gameplay/gameplay/src/Joint.h,
SKA,,./gameplay/gameplay/src/Mesh.cpp,
SKA,,./gameplay/gameplay/src/Mesh.h,
SKA,,./gameplay/gameplay/src/MeshBatch.cpp,
SKA,,./gameplay/gameplay/src/MeshBatch.h,
SKA,,./gameplay/gameplay/src/MeshBatch.inl,
SKA,,./gameplay/gameplay/src/MeshPart.cpp,
SKA,,./gameplay/gameplay/src/MeshPart.h,
SKA,,./gameplay/gameplay/src/MeshSkin.cpp,
SKA,,./gameplay/gameplay/src/MeshSkin.h,
SGC,,./gameplay/gameplay/src/Frustum.cpp,
SGC,,./gameplay/gameplay/src/Frustum.h,
SGC,,./gameplay/gameplay/src/Scene.cpp,
SGC,,./gameplay/gameplay/src/Scene.h,
SGC,,./gameplay/gameplay/src/SceneLoader.cpp,
SGC,,./gameplay/gameplay/src/SceneLoader.h,
RES,,./gameplay/gameplay/src/Image.cpp,
RES,,./gameplay/gameplay/src/Image.h,
RES,,./gameplay/gameplay/src/Image.inl,
PLA,,./gameplay/gameplay/src/FileSystem.cpp,
PLA,,./gameplay/gameplay/src/FileSystem.h,
PLA,,./gameplay/gameplay/src/gameplay-main-android.cpp,
PLA,,./gameplay/gameplay/src/gameplay-main-ios.mm,
PLA,,./gameplay/gameplay/src/gameplay-main-linux.cpp,
PLA,,./gameplay/gameplay/src/gameplay-main-macosx.mm,
PLA,,./gameplay/gameplay/src/gameplay-main-windows.cpp,
PLA,,./gameplay/gameplay/src/Platform.cpp,
PLA,,./gameplay/gameplay/src/Platform.h,
PLA,,./gameplay/gameplay/src/PlatformAndroid.cpp,
PLA,,./gameplay/gameplay/src/PlatformiOS.mm,
PLA,,./gameplay/gameplay/src/PlatformLinux.cpp,
PLA,,./gameplay/gameplay/src/PlatformMacOSX.mm,
PLA,,./gameplay/gameplay/src/PlatformWindows.cpp,
PHY,,./gameplay/gameplay/src/BoundingBox.cpp,
PHY,,./gameplay/gameplay/src/BoundingBox.h,
PHY,,./gameplay/gameplay/src/BoundingBox.inl,
PHY,,./gameplay/gameplay/src/BoundingSphere.cpp,
PHY,,./gameplay/gameplay/src/BoundingSphere.h,
PHY,,./gameplay/gameplay/src/BoundingSphere.inl,
PHY,,./gameplay/gameplay/src/PhysicsCharacter.cpp,
PHY,,./gameplay/gameplay/src/PhysicsCharacter.h,
PHY,,./gameplay/gameplay/src/PhysicsCollisionObject.cpp,https://github.com/gameplay3d/gameplay/wiki/File-Formats#physics
PHY,,./gameplay/gameplay/src/PhysicsCollisionObject.h,
PHY,,./gameplay/gameplay/src/PhysicsCollisionShape.cpp,
PHY,,./gameplay/gameplay/src/PhysicsCollisionShape.h,
PHY,,./gameplay/gameplay/src/PhysicsConstraint.cpp,
PHY,,./gameplay/gameplay/src/PhysicsConstraint.h,
PHY,,./gameplay/gameplay/src/PhysicsConstraint.inl,
PHY,,./gameplay/gameplay/src/PhysicsController.cpp,
PHY,,./gameplay/gameplay/src/PhysicsController.h,
PHY,,./gameplay/gameplay/src/PhysicsFixedConstraint.cpp,
PHY,,./gameplay/gameplay/src/PhysicsFixedConstraint.h,
PHY,,./gameplay/gameplay/src/PhysicsFixedConstraint.inl,
PHY,,./gameplay/gameplay/src/PhysicsGenericConstraint.cpp,
PHY,,./gameplay/gameplay/src/PhysicsGenericConstraint.h,
PHY,,./gameplay/gameplay/src/PhysicsGenericConstraint.inl,
