subsystem,entity_description,path_from_root,related_information
NIL,Binaries,./godot/bin,
COR,,./godot/core,
NIL,Docs,./godot/doc,
AUD,,./godot/drivers/alsa,
AUD,,./godot/drivers/alsamidi,
AUD,,./godot/drivers/coreaudio,
AUD,,./godot/drivers/coremidi,
RES,,./godot/drivers/dummy,
NIL,Empty,./godot/drivers/gl_context,
LLR,,./godot/drivers/gles_common,
LLR,,./godot/drivers/gles2,
LLR,,./godot/drivers/gles3,
RES,,./godot/drivers/png,
AUD,,./godot/drivers/pulseaudio,
PLA,,./godot/drivers/unix,
PLA,,./godot/drivers/wasapi,https://docs.microsoft.com/en-us/windows/win32/coreaudio/wasapi
PLA,,./godot/drivers/windows,
PLA,,./godot/drivers/winmidi,
PLA,,./godot/drivers/xaudio2,https://docs.microsoft.com/en-us/windows/win32/xaudio2/xaudio2-introduction
RES,,./godot/drivers/register_driver_types.cpp,
RES,,./godot/drivers/register_driver_types.h,
EDI,,./godot/editor,
NIL,Log files,./godot/logs,
COR,,./godot/main,
NIL,Build,./godot/misc,
AUD,,./godot/modules/stb_vorbis,
COR,,./godot/modules/gdnative,
COR,,./godot/modules/jsonrpc,https://www.jsonrpc.org/specification
COR,,./godot/modules/mbedtls,
COR,,./godot/modules/mono,
COR,,./godot/modules/regex,
COR,,./godot/modules/upnp,
EDI,,./godot/modules/gridmap,https://docs.godotengine.org/en/stable/classes/class_gridmap.html?highlight=gridmap
EDI,,./godot/modules/visual_script,
FES,,./godot/modules/freetype,
GMP,,./godot/modules/gdscript,
NIL,,./godot/modules/camera,
LLR,,./godot/modules/csg,https://opencsg.org/
LLR,,./godot/modules/opensimplex,
LLR,,./godot/modules/vhacd,https://github.com/Unity-Technologies/VHACD
OMP,,./godot/modules/enet,
OMP,,./godot/modules/webrtc,https://docs.godotengine.org/en/stable/tutorials/networking/webrtc.html?highlight=webrtc
OMP,,./godot/modules/websocket,
PHY,,./godot/modules/bullet,
PHY,,./godot/modules/raycast,
RES,,./godot/modules/bmp,
RES,,./godot/modules/cvtt,
RES,,./godot/modules/dds,https://docs.microsoft.com/en-us/windows/win32/direct3ddds/dx-graphics-dds
RES,,./godot/modules/etc,
RES,,./godot/modules/fbx,
RES,,./godot/modules/gltf,https://www.khronos.org/gltf/
RES,,./godot/modules/hdr,
RES,,./godot/modules/jpg,
RES,,./godot/modules/minimp3,https://github.com/lieff/minimp3
RES,,./godot/modules/ogg,
RES,,./godot/modules/opus,
RES,,./godot/modules/pvr,
RES,,./godot/modules/squish,
RES,,./godot/modules/svg,
RES,,./godot/modules/tga,
RES,,./godot/modules/theora,
RES,,./godot/modules/tinyexr,
RES,,./godot/modules/vorbis,
RES,,./godot/modules/webm,
RES,,./godot/modules/webp,
RES,,./godot/modules/xatlas_unwrap,https://github.com/jpcy/xatlas
VFX,,./godot/modules/denoise,
VFX,,./godot/modules/lightmapper_cpu,https://docs.godotengine.org/en/stable/tutorials/3d/baked_lightmaps.html?highlight=lightmapper
NIL,Python cache,./godot/modules/__pycache__,
NIL,AR/VR,./godot/modules/mobile_vr,
NIL,Navigation,./godot/modules/recast,
NIL,AR/VR,./godot/modules/webxr,
COR,,./godot/modules/modules_enabled.gen.h,
COR,,./godot/modules/register_module_types.gen.cpp,
COR,,./godot/modules/register_module_types.h,
PLA,,./godot/platform,
DEB,,./godot/scene/debugger,
FES,,./godot/scene/gui,
AUD,,./godot/scene/audio,
RES,,./godot/scene/resources,
SGC,,./godot/scene/3d,
SGC,,./godot/scene/main,There is a file inside called scene tree
SKA,,./godot/scene/animation,
VFX,,./godot/scene/2d,
SGC,,./godot/scene/register_scene_types.cpp,
SGC,,./godot/scene/register_scene_types.h,
SGC,,./godot/scene/scene_string_names.cpp,
SGC,,./godot/scene/scene_string_names.h,
AUD,,./godot/servers/audio,
NIL,AR/VR,./godot/servers/arvr,
NIL,Webcam and phone camera,./godot/servers/camera,
PHY,,./godot/servers/physics,
PHY,,./godot/servers/physics_2d,
LLR,,./godot/servers/visual,
SDK,,./godot/thirdparty,
NIL,AR/VR,./godot/servers/arvr_server.cpp,
NIL,AR/VR,./godot/servers/arvr_server.h,
AUD,,./godot/servers/audio_server.cpp, 
AUD,,./godot/servers/audio_server.h,
NIL,Webcam and phone camera,./godot/servers/camera_server.cpp,
NIL,Webcam and phone camera,./godot/servers/camera_server.h,
PHY,,./godot/servers/physics_2d_server.cpp,
PHY,,./godot/servers/physics_2d_server.h,
PHY,,./godot/servers/physics_server.cpp, 
PHY,,./godot/servers/physics_server.h, 
COR,,./godot/servers/register_server_types.cpp, 
COR,,./godot/servers/register_server_types.h,
COR,,./godot/servers/server_wrap_mt_common.h,
LLR,,./godot/servers/visual_server.cpp, 
LLR,,./godot/servers/visual_server.h,
LLR,,./godot/servers/visual_server_callbacks.cpp, 
LLR,,./godot/servers/visual_server_callbacks.h,
