subsystem,entity_description,path_from_root,related_information
NIL,Analytics,/Code/Framework/AzCore/AzCore/Statistics,
NIL,Analytics,/Code/Framework/AzFramework/AzFramework/Metrics,Bus for things to register their UUIDs if they want their naked, raw name sent back to Amazon for metrics
NIL,Assets,/Assets,
NIL,Assets,/Code/Framework/AzQtComponents/AzQtComponents/Images,
NIL,Assets,/Code/LauncherUnified/Resources,
NIL,AWS integration,/Code/Tools/AWSNativeSDKInit,
NIL,Boilerplate,/Code/Legacy/CryCommon/Mocks,
NIL,Build files,/Code/Framework/AzQtComponents/AzQtComponents/Platform,
NIL,Build files,/Code/Legacy/CrySystem/Platform,
NIL,Build tool,/cmake,
NIL,Cloud services integration,/Gems/AWSClientAuth,https://www.o3de.org/docs/user-guide/gems/reference/aws/aws-client-auth/
NIL,Cloud services integration,/Gems/AWSCore,https://www.o3de.org/docs/user-guide/gems/reference/aws/aws-core/
NIL,Code generation for engine devs,/Code/Framework/AzCore/AzCore/Preprocessor,
NIL,Database,/Code/Framework/AzToolsFramework/AzToolsFramework/SQLite,
NIL,Docs,/Code/Framework/AzCore/AzCore/Docs.h,
NIL,Example plugin,/Gems/SceneLoggingExample,
NIL,Java code,/Code/Framework/AzAndroid,
NIL,Java code,/Code/Tools/Android,
NIL,Lua and Python tools,/Tools,
NIL,Navigation,/Code/Legacy/CryCommon/IMNM.h,https://docs.cryengine.com/display/SDKDOC2/Multi-layer+Navigation
NIL,Navigation,/Code/Legacy/CryCommon/INavigationSystem.h,
NIL,Navigation,/Code/Legacy/CryCommon/IPathfinder.h,https://docs.cryengine.com/display/SDKDOC2/Multi-layer+Navigation
NIL,No cpp code,/Registry,
NIL,Project templates,/Templates,
NIL,Python code,/phyton,
NIL,Scripts,/scripts,
NIL,Terrain,/Code/Framework/AzFramework/AzFramework/Terrain,
NIL,Test,/Code/Framework/AzToolsFramework/AzToolsFramework/UnitTest,
NIL,Test,/Code/Tools/TestImpactFramework,
NIL,Tests,/Automated Testing,
NIL,Tests,/Code/Framework/AtomCore/Tests,
NIL,Tests,/Code/Framework/AzCore/AzCore/UnitTest,
NIL,Tests,/Code/Framework/AzFramework/AzFramework/UnitTest,
NIL,Tests,/Code/Framework/AzFramework/Tests,
NIL,Tests,/Code/Framework/AzManipulatorTestFramework,
NIL,Tests,/Code/Framework/AzQtComponents/AzQtComponents/Tests,
NIL,Tests,/Code/Framework/AzTest,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/ActionManager,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/ArchiveTests.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/AssetFileInfoListComparison.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/AssetSeedManager.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/AssetSystemMocks.h,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/AssetUtils.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/AzToolsFrameworkTestHelpersTest.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/BoundsTestComponent.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/BoundsTestComponent.h,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/ComponentAdapterTests.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/ComponentAddRemove.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/ComponentModeTestDoubles.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/ComponentModeTestDoubles.h,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/ComponentModeTestFixture.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/ComponentModeTestFixture.h,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/ComponentModeTests.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/EditorTransformComponentSelectionTests.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/EditorVertexSelectionTests.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/EditorViewportIconTests.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/Entity,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/EntityIdQLabelTests.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/EntityInspectorTests.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/EntityOwnershipService,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/EntityTestbed.h,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/FileFunc.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/FingerprintingTests.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/FocusMode,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/GenericComponentWrapperTest.cpp,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/Input,
NIL,Tests,/Code/Framework/AzToolsFramework/Tests/InstanceDataHierarchy.cpp,
