subsystem,entity_description,path_from_root,related_information
OTH,Build,./panda3d/cmake,
OTH,AI,./panda3d/contrib/src/ai,
OTH,Python code,./panda3d/contrib/src/panda3dtoolsgui,
COR,,./panda3d/contrib/src/contribbase,
VFX,,./panda3d/contrib/src/rplight,https://docs.panda3d.org/1.10/python/reference/panda3d._rplight.RPLight
EDI,,./panda3d/contrib/src/sceneeditor,
SGC,,./panda3d/contrib/src/speedtree,
OTH,Python code,./panda3d/direct,
OTH,Docs,./panda3d/doc,
EDI,,./panda3d/dtool,https://docs.panda3d.org/1.10/python/tools/index
OTH,Python code,./panda3d/makepanda,
OTH,Assets,./panda3d/models,
OTH,Config files,./panda3d/panda/src/configfiles,
OTH,Docs,./panda3d/panda/src/doc,Documentation Panda3D developers considered that doesn’t fit in any of the packages (https://readthedocs.org/projects/panda-developer-manual/downloads/pdf/latest/)
OTH,Testing,./panda3d/panda/src/testbed,
OTH,VR,./panda3d/panda/src/vrpn,https://github.com/vrpn/vrpn
PLA,,./panda3d/panda/src/android,https://www.panda3d.org/reference/cxx/classAndroidGraphicsPipe.html#details
PLA,,./panda3d/panda/src/androiddisplay,
AUD,,./panda3d/panda/src/audio,
AUD,,./panda3d/panda/src/audiotraits,
PHY,,./panda3d/panda/src/bullet,
SKA,,./panda3d/panda/src/chan,This defines the various kinds of AnimChannels that may be defined as well as the MovingPart class which binds to the channels and plays the animation (https://readthedocs.org/projects/panda-developer-manual/downloads/pdf/latest/)
SKA,,./panda3d/panda/src/char,
PLA,,./panda3d/panda/src/cocoadisplay,https://www.panda3d.org/reference/cxx/classCocoaGraphicsPipe.html
PHY,,./panda3d/panda/src/collide,
SGC,,./panda3d/panda/src/cull,
HID,,./panda3d/panda/src/device,
COR,,./panda3d/panda/src/dgraph,Defines and manages the data graph; which is the hierarchy of devices; tforms; and any other things which might have an input or an output and need to execute every frame (https://readthedocs.org/projects/panda-developer-manual/downloads/pdf/latest/)
LLR,,./panda3d/panda/src/display,Abstract display classes including pipes; windows; channels; and display regions (https://readthedocs.org/projects/panda-developer-manual/downloads/pdf/latest/)
VFX,,./panda3d/panda/src/distort,File names: cylindricalLens.h; fisheyeLens.h
COR,,./panda3d/panda/src/downloader,Tool to allow automatic download of files in the background (https://readthedocs.org/projects/panda-developer-manual/downloads/pdf/latest/)
COR,,./panda3d/panda/src/downloadertools,
LLR,,./panda3d/panda/src/dxgsg9,Handles all communication with the DirectX backend; and manages state to minimize redundant state changes (https://readthedocs.org/projects/panda-developer-manual/downloads/pdf/latest/)
COR,,./panda3d/panda/src/dxml,
RES,,./panda3d/panda/src/egg,https://docs.panda3d.org/1.10/cpp/tools/model-export/egg-syntax
RES,,./panda3d/panda/src/egg2pg,A.k.a. the “egg loader”; this converts the egg structure read from the egg library; above; to a scene graph structure; suitable for rendering (https://readthedocs.org/projects/panda-developer-manual/downloads/pdf/latest/)
LLR,,./panda3d/panda/src/egldisplay,
GMP,,./panda3d/panda/src/event,Tools for throwing; handling and receiving events (https://readthedocs.org/projects/panda-developer-manual/downloads/pdf/latest/)
COR,,./panda3d/panda/src/express,https://docs.panda3d.org/1.10/python/reference/panda3d.core.Filename#panda3d.core.Filename
FES,,./panda3d/panda/src/ffmpeg,
FES,,./panda3d/panda/src/framework,Handy for quickly writing programs that can open a window and display the OmniTriangle (https://readthedocs.org/projects/panda-developer-manual/downloads/pdf/latest/)
LLR,,./panda3d/panda/src/gles2gsg,
LLR,,./panda3d/panda/src/glesgsg,
LLR,,./panda3d/panda/src/glgsg,
LLR,,./panda3d/panda/src/glstuff,
LLR,,./panda3d/panda/src/glxdisplay,
LLR,,./panda3d/panda/src/gobj,Graphical non-scene-graph objects such as textures and geometry primitives (https://readthedocs.org/projects/panda-developer-manual/downloads/pdf/latest/)
LLR,,./panda3d/panda/src/grutil,
LLR,,./panda3d/panda/src/gsgbase,All code specific to rendering on a particular platform is contained within a well-defined class called a graphics state guardian (doi:10.1109/mc.2004.180)
PLA,,./panda3d/panda/src/iphone,
PLA,,./panda3d/panda/src/iphonedisplay,
COR,,./panda3d/panda/src/linmath,
COR,,./panda3d/panda/src/mathutil,
COR,,./panda3d/panda/src/movies,
OMP,,./panda3d/panda/src/nativenet,
OMP,,./panda3d/panda/src/net,
PHY,,./panda3d/panda/src/ode,https://docs.panda3d.org/1.10/python/programming/physics/ode/index
COR,,./panda3d/panda/src/pandabase,
COR,,./panda3d/panda/src/parametrics,
VFX,,./panda3d/panda/src/particlesystem,
SGC,,./panda3d/panda/src/pgraph,https://www.panda3d.org/reference/cxx/classCullableObject.html#details
SGC,,./panda3d/panda/src/pgraphnodes,
FES,,./panda3d/panda/src/pgui,
PHY,,./panda3d/panda/src/physics,
COR,,./panda3d/panda/src/pipeline,
RES,,./panda3d/panda/src/pnmimage,Reads and writes image files in various formats by using the pnm and tiff libraries (https://readthedocs.org/projects/panda-developer-manual/downloads/pdf/latest/)
RES,,./panda3d/panda/src/pnmimagetypes,
LLR,,./panda3d/panda/src/pnmtext,
COR,,./panda3d/panda/src/pstatclient,
COR,,./panda3d/panda/src/putil,
DEB,,./panda3d/panda/src/recorder,
COR,,./panda3d/panda/src/skel,
LLR,,./panda3d/panda/src/text,
HID,,./panda3d/panda/src/tform,Data transforming objects that live in the data graph and convert raw data (as read from an input device for instance) to something more useful. (https://readthedocs.org/projects/panda-developer-manual/downloads/pdf/latest/)
LLR,,./panda3d/panda/src/tinydisplay,
LLR,,./panda3d/panda/src/vision,
PLA,,./panda3d/panda/src/wgldisplay,
PLA,,./panda3d/panda/src/windisplay,
PLA,,./panda3d/panda/src/x11display,
RES,,./panda3d/pandatool/src/assimp,https://en.wikipedia.org/wiki/Open_Asset_Import_Library
RES,,./panda3d/pandatool/src/bam,https://docs.panda3d.org/1.10/python/tools/model-export/converting-egg-to-bam
RES,,./panda3d/pandatool/src/converter,
RES,,./panda3d/pandatool/src/daeegg,
RES,,./panda3d/pandatool/src/daeprogs,
COR,,./panda3d/pandatool/src/deploy-stub,This function is called by native_app_glue to initialize the program.
RES,,./panda3d/pandatool/src/dxf,https://docs.panda3d.org/1.10/cpp/introduction/features?highlight=dxf
RES,,./panda3d/pandatool/src/dxfegg,
RES,,./panda3d/pandatool/src/dxfprogs,
RES,,./panda3d/pandatool/src/egg-mkfont,
RES,,./panda3d/pandatool/src/egg-optchar,
RES,,./panda3d/pandatool/src/egg-palettize,
RES,,./panda3d/pandatool/src/egg-qtess,
RES,,./panda3d/pandatool/src/eggbase,
RES,,./panda3d/pandatool/src/eggcharbase,
RES,,./panda3d/pandatool/src/eggprogs,
RES,,./panda3d/pandatool/src/flt,https://docs.panda3d.org/1.10/cpp/introduction/features?highlight=flt
RES,,./panda3d/pandatool/src/fltegg,
RES,,./panda3d/pandatool/src/fltprogs,
COR,,./panda3d/pandatool/src/gtk-stats,
RES,,./panda3d/pandatool/src/imagebase,
RES,,./panda3d/pandatool/src/imageprogs,
RES,,./panda3d/pandatool/src/lwo,
RES,,./panda3d/pandatool/src/lwoegg,
RES,,./panda3d/pandatool/src/lwoprogs,
RES,,./panda3d/pandatool/src/maxegg,
RES,,./panda3d/pandatool/src/maxprogs,
RES,,./panda3d/pandatool/src/maya,
RES,,./panda3d/pandatool/src/mayaegg,
RES,,./panda3d/pandatool/src/mayaprogs,
RES,,./panda3d/pandatool/src/miscprogs,
RES,,./panda3d/pandatool/src/objegg,
RES,,./panda3d/pandatool/src/objprogs,
RES,,./panda3d/pandatool/src/palettizer,https://doi.org/10.1117/12.469516
COR,,./panda3d/pandatool/src/pandatoolbase,
RES,,./panda3d/pandatool/src/pfmprogs,
