subsystem,entity_description,path_from_root,related_information
AUD,,./Urho3d/include/Urho3D/Audio,
AUD,,./Urho3d/Source/Urho3D/Audio,https://rurho3d.github.io/doxygen/_audio.html
COR,,./Urho3d/include/Urho3D/Base,
COR,,./Urho3d/include/Urho3D/Container,
COR,,./Urho3d/include/Urho3D/Core,
COR,,./Urho3d/include/Urho3D/Engine,
COR,,./Urho3d/include/Urho3D/IO,
COR,,./Urho3d/include/Urho3D/Math,
COR,,./Urho3d/Source/Urho3D/Base,
COR,,./Urho3d/Source/Urho3D/Container,https://rurho3d.github.io/doxygen/_containers.html
COR,,./Urho3d/Source/Urho3D/Core,
COR,,./Urho3d/Source/Urho3D/Engine,
COR,,./Urho3d/Source/Urho3D/IO,
COR,,./Urho3d/Source/Urho3D/Math,
FES,,./Urho3d/include/Urho3D/UI,
FES,,./Urho3d/Source/Urho3D/UI,https://rurho3d.github.io/doxygen/_u_i.html
GMP,,./Urho3d/include/Urho3D/AngelScript,
GMP,,./Urho3d/include/Urho3D/LuaScript,
GMP,,./Urho3d/Source/Urho3D/AngelScript,https://rurho3d.github.io/doxygen/_scripting.html
GMP,,./Urho3d/Source/Urho3D/LuaScript,https://rurho3d.github.io/doxygen/_lua_scripting.html
HID,,./Urho3d/include/Urho3D/Input,
HID,,./Urho3d/Source/Urho3D/Input,https://rurho3d.github.io/doxygen/_input.html
LLR,,./Urho3d/include/Urho3D/Graphics,
LLR,,./Urho3d/include/Urho3D/GraphicsAPI,
LLR,,./Urho3d/include/Urho3D/Urho2D,
LLR,,./Urho3d/Source/Urho3D/Graphics,https://rurho3d.github.io/doxygen/_rendering.html
LLR,,./Urho3d/Source/Urho3D/GraphicsAPI,
LLR,,./Urho3d/Source/Urho3D/Urho2D,
OMP,,./Urho3d/include/Urho3D/Network,
OMP,,./Urho3d/Source/Urho3D/Network,https://rurho3d.github.io/doxygen/_network.html
PHY,,./Urho3d/include/Urho3D/Physics,
PHY,,./Urho3d/include/Urho3D/Physics2D,
PHY,,./Urho3d/Source/Urho3D/Physics,https://rurho3d.github.io/doxygen/_physics.html
PHY,,./Urho3d/Source/Urho3D/Physics2D,
RES,,./Urho3d/include/Urho3D/Resources,
RES,,./Urho3d/Source/Urho3D/Resources,https://rurho3d.github.io/doxygen/_resources.html
SDK,,./Urho3d/ThirdParty,
SGC,,./Urho3d/include/Urho3D/Scene,
SGC,,./Urho3d/Source/Urho3D/Scene,
SKA,,./Urho3d/include/Urho3D/IK,
SKA,,./Urho3d/Source/Urho3D/IK,https://rurho3d.github.io/doxygen/_i_k.html
,Assets,./Urho3d/SourceAssets,
,Binaries and assets,./Urho3d/bin,
,Build,./Urho3d/cmake,
,Build,./Urho3d/CMakeFiles,
,Build,./Urho3d/script,
,Database,./Urho3d/Source/Urho3D/Database,https://rurho3d.github.io/doxygen/_database.html
,Docs,./Urho3d/Docs,
,Docs,./Urho3d/website,
,Java code,./Urho3d/android,
,Java files,./Urho3d/gradle,
,Navigation,./Urho3d/Source/Urho3D/Navigation,https://rurho3d.github.io/doxygen/_navigation.html
