edge,includes,includedby,sum
/media/ullmann/hdd/research/engines/cocos2d-x/cocos/2d/CCFontAtlas.h,4,8,12
/media/ullmann/hdd/research/engines/cocos2d-x/cocos/renderer/CCTexture2D.h,4,26,30
/media/ullmann/hdd/research/engines/cocos2d-x/cocos/editor-support/cocostudio/CCSpriteFrameCacheHelper.cpp,4,0,4
/media/ullmann/hdd/research/engines/cocos2d-x/cocos/2d/CCSpriteFrame.h,4,13,17
/media/ullmann/hdd/research/engines/cocos2d-x/cocos/editor-support/cocostudio/ActionTimeline/CCTimeLine.h,3,5,8
/media/ullmann/hdd/research/engines/cocos2d-x/cocos/editor-support/cocostudio/ActionTimeline/CCFrame.h,7,4,11
/media/ullmann/hdd/research/engines/cocos2d-x/cocos/editor-support/cocostudio/CCComRender.h,3,2,5
/media/ullmann/hdd/research/engines/cocos2d-x/cocos/editor-support/cocostudio/CocosStudioExport.h,0,75,75
/media/ullmann/hdd/research/engines/cocos2d-x/cocos/editor-support/cocostudio/CCDatas.h,8,14,22
/media/ullmann/hdd/research/engines/cocos2d-x/cocos/base/ccTypes.h,5,81,86
/media/ullmann/hdd/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUAlignAffectorTranslator.h,3,2,5
/media/ullmann/hdd/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUAlignAffector.h,1,3,4
/media/ullmann/hdd/research/engines/cocos2d-x/cocos/base/CCEventListenerController.cpp,4,0,4
/media/ullmann/hdd/research/engines/cocos2d-x/cocos/base/CCEventController.h,2,7,9
/media/ullmann/hdd/research/engines/cocos2d-x/cocos/ui/UITabControl.cpp,5,0,5
/media/ullmann/hdd/research/engines/cocos2d-x/cocos/2d/CCLabel.h,5,24,29
/media/ullmann/hdd/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUAffectorManager.h,29,3,32
/media/ullmann/hdd/research/engines/cocos2d-x/extensions/Particle3D/PU/CCPUPlaneColliderTranslator.h,3,2,5
