edge,includes,includedby,sum
/media/ullmann/hdd/research/engines/godot/core/crypto/aes_context.cpp,1,0,1
/media/ullmann/hdd/research/engines/godot/core/crypto/aes_context.h,2,2,4
/media/ullmann/hdd/research/engines/godot/modules/csg/csg_gizmos.h,3,2,5
/media/ullmann/hdd/research/engines/godot/modules/csg/csg_shape.h,5,7,12
/media/ullmann/hdd/research/engines/godot/thirdparty/minizip/ioapi.c,1,0,1
/media/ullmann/hdd/research/engines/godot/thirdparty/minizip/ioapi.h,0,3,3
/media/ullmann/hdd/research/engines/godot/editor/settings_config_dialog.cpp,10,0,10
/media/ullmann/hdd/research/engines/godot/editor/editor_node.h,8,145,153
/media/ullmann/hdd/research/engines/godot/editor/editor_inspector.cpp,8,0,8
/media/ullmann/hdd/research/engines/godot/editor/editor_scale.h,0,100,100
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/gzip/infblock.c,5,1,6
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/gzip/inftrees.h,0,5,5
/media/ullmann/hdd/research/engines/godot/thirdparty/libtheora/x86/x86state.c,2,0,2
/media/ullmann/hdd/research/engines/godot/thirdparty/libtheora/cpu.c,1,4,5
/media/ullmann/hdd/research/engines/godot/editor/plugins/texture_region_editor_plugin.h,8,2,10
/media/ullmann/hdd/research/engines/godot/scene/3d/sprite_3d.h,2,7,9
/media/ullmann/hdd/research/engines/godot/scene/2d/physics_body_2d.cpp,8,0,8
/media/ullmann/hdd/research/engines/godot/core/engine.h,4,77,81
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/kernels/geometry/primitive4.cpp,15,0,15
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/kernels/geometry/linei.h,1,8,9
/media/ullmann/hdd/research/engines/godot/editor/plugins/animation_state_machine_editor.h,9,3,12
/media/ullmann/hdd/research/engines/godot/editor/editor_plugin.h,9,60,69
/media/ullmann/hdd/research/engines/godot/platform/x11/os_x11.h,14,2,16
/media/ullmann/hdd/research/engines/godot/drivers/unix/os_unix.h,2,7,9
/media/ullmann/hdd/research/engines/godot/main/tests/test_oa_hash_map.cpp,3,0,3
/media/ullmann/hdd/research/engines/godot/core/oa_hash_map.h,3,5,8
/media/ullmann/hdd/research/engines/godot/scene/gui/option_button.h,2,21,23
/media/ullmann/hdd/research/engines/godot/scene/gui/popup_menu.h,1,17,18
/media/ullmann/hdd/research/engines/godot/platform/android/export/export_plugin.h,20,2,22
/media/ullmann/hdd/research/engines/godot/platform/android/export/godot_plugin_config.h,4,2,6
/media/ullmann/hdd/research/engines/godot/core/input_map.h,2,8,10
/media/ullmann/hdd/research/engines/godot/core/object.h,10,45,55
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/gzip/infcodes.c,5,1,6
/media/ullmann/hdd/research/engines/godot/thirdparty/freetype/src/gzip/infutil.h,0,4,4
/media/ullmann/hdd/research/engines/godot/thirdparty/libtheora/encint.h,6,12,18
/media/ullmann/hdd/research/engines/godot/thirdparty/libtheora/internal.h,5,12,17
/media/ullmann/hdd/research/engines/godot/editor/plugins/animation_tree_player_editor_plugin.cpp,9,0,9
/media/ullmann/hdd/research/engines/godot/editor/plugins/animation_tree_player_editor_plugin.h,7,2,9
/media/ullmann/hdd/research/engines/godot/thirdparty/bullet/LinearMath/btGrahamScan2dConvexHull.h,2,0,2
/media/ullmann/hdd/research/engines/godot/thirdparty/bullet/LinearMath/btAlignedObjectArray.h,2,9,11
/media/ullmann/hdd/research/engines/godot/thirdparty/bullet/BulletCollision/CollisionShapes/btMultiSphereShape.h,1,2,3
/media/ullmann/hdd/research/engines/godot/thirdparty/bullet/BulletCollision/CollisionShapes/btConvexInternalShape.h,1,7,8
/media/ullmann/hdd/research/engines/godot/servers/audio/audio_driver_dummy.h,3,2,5
/media/ullmann/hdd/research/engines/godot/servers/audio_server.h,5,49,54
/media/ullmann/hdd/research/engines/godot/editor/plugins/root_motion_editor_plugin.h,4,2,6
/media/ullmann/hdd/research/engines/godot/scene/animation/animation_tree.h,4,10,14
/media/ullmann/hdd/research/engines/godot/modules/mono/utils/mono_reg_utils.cpp,3,0,3
/media/ullmann/hdd/research/engines/godot/modules/mono/utils/mono_reg_utils.h,1,2,3
/media/ullmann/hdd/research/engines/godot/core/rid.h,5,25,30
/media/ullmann/hdd/research/engines/godot/core/safe_refcount.h,1,35,36
/media/ullmann/hdd/research/engines/godot/servers/audio_server.cpp,8,0,8
/media/ullmann/hdd/research/engines/godot/core/os/file_access.h,4,119,123
/media/ullmann/hdd/research/engines/godot/thirdparty/oidn/mkl-dnn/src/common/reorder_pd.hpp,4,2,6
/media/ullmann/hdd/research/engines/godot/thirdparty/oidn/mkl-dnn/src/common/utils.hpp,3,42,45
/media/ullmann/hdd/research/engines/godot/platform/javascript/export/export.cpp,11,0,11
/media/ullmann/hdd/research/engines/godot/core/io/stream_peer_ssl.h,2,10,12
/media/ullmann/hdd/research/engines/godot/scene/gui/color_picker.cpp,7,0,7
/media/ullmann/hdd/research/engines/godot/thirdparty/libtheora/theora/codec.h,0,5,5
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/kernels/common/device.cpp,15,0,15
/media/ullmann/hdd/research/engines/godot/thirdparty/embree/kernels/common/scene_subdiv_mesh.h,8,4,12
/media/ullmann/hdd/research/engines/godot/thirdparty/opus/silk/main.h,8,38,46
