edge,includes,includedby,sum
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/code/X3DImporter_Postprocess.cpp,3,0,3
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/code/StandardShapes.h,0,6,6
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Bullet/src/BulletDynamics/Featherstone/btMultiBodySphericalJointMotor.h,1,1,2
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Bullet/src/BulletDynamics/Featherstone/btMultiBodyConstraint.h,2,11,13
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Lua/src/lcode.h,4,3,7
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Lua/src/lopcodes.h,1,9,10
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/UI/UI.cpp,42,0,42
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/Core/Context.h,3,168,171
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/AngelScript/ScriptFile.cpp,12,0,12
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/IO/FileSystem.h,3,56,59
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/code/OgreMaterial.cpp,3,0,3
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/code/fast_atof.h,1,45,46
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/FreeType/src/autofit/afdummy.c,3,1,4
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/FreeType/src/autofit/afhints.h,1,9,10
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/FreeType/src/type1/t1parse.c,2,1,3
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/FreeType/src/type1/t1errors.h,0,6,6
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/IO/MemoryBuffer.cpp,2,0,2
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/IO/MemoryBuffer.h,1,23,24
/media/ullmann/hdd/research/engines/Urho3D/script/build/include/Urho3D/AngelScript/Manual_Graphics.h,17,1,18
/media/ullmann/hdd/research/engines/Urho3D/script/build/include/Urho3D/GraphicsAPI/IndexBuffer.h,4,3,7
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SLikeNet/Source/src/CloudCommon.cpp,3,0,3
/media/ullmann/hdd/research/engines/Urho3D/include/Urho3D/ThirdParty/slikenet/BitStream.h,0,35,35
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/contrib/zlib/gzclose.c,1,0,1
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/contrib/zlib/gzguts.h,1,5,6
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/GraphicsAPI/VertexBuffer.h,4,38,42
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/GraphicsAPI/GPUObject.h,1,8,9
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SDL/src/core/android/SDL_android.h,1,18,19
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SDL/src/SDL_internal.h,2,506,508
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SLikeNet/Source/include/slikenet/DS_Multilist.h,4,2,6
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SLikeNet/Source/include/slikenet/memoryoverride.h,3,61,64
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/LuaJIT/src/lj_cparse.c,11,1,12
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/LuaJIT/src/lj_char.h,1,8,9
