subsystem,path_from_root
COR,/core 
AUD,/drivers/alsa
AUD,/drivers/alsamidi
AUD,/drivers/coreaudio
AUD,/drivers/coremidi
RES,/drivers/dummy
LLR,/drivers/gles_common
LLR,/drivers/gles2
LLR,/drivers/gles3
RES,/drivers/png
AUD,/drivers/pulseaudio
PLA,/drivers/unix
PLA,/drivers/wasapi
PLA,/drivers/windows
PLA,/drivers/winmidi
PLA,/drivers/xaudio2
EDI,/editor
COR,/main
RES,/modules/bmp
PHY,/modules/bullet
HID,/modules/camera
LLR,/modules/csg
RES,/modules/cvtt
RES,/modules/dds
VFX,/modules/denoise
OMP,/modules/enet
RES,/modules/etc
RES,/modules/fbx
FES,/modules/freetype
COR,/modules/gdnative
GMP,/modules/gdscript
RES,/modules/gltf
EDI,/modules/gridmap
RES,/modules/hdr
RES,/modules/jpg
COR,/modules/jsonrpc
VFX,/modules/lightmapper_cpu
COR,/modules/mbedtls
RES,/modules/minimp3
COR,/modules/mono
RES,/modules/ogg
LLR,/modules/opensimplex
RES,/modules/opus
RES,/modules/pvr
PHY,/modules/raycast
COR,/modules/regex
RES,/modules/squish
AUD,/modules/stb_vorbis
RES,/modules/svg
RES,/modules/tga
RES,/modules/theora
RES,/modules/tinyexr
COR,/modules/upnp
LLR,/modules/vhacd
EDI,/modules/visual_script
RES,/modules/vorbis
RES,/modules/webm
RES,/modules/webp
OMP,/modules/webrtc
OMP,/modules/websocket
RES,/modules/xatlas_unwrap
PLA,/platform
VFX,/scene/2d
SGC,/scene/3d
SKA,/scene/animation
AUD,/scene/audio
DEB,/scene/debugger
FES,/scene/gui
SGC,/scene/main
RES,/scene/resources
AUD,/servers/audio
PHY,/servers/physics
PHY,/servers/physics_2d
LLR,/servers/visual
SDK,/thirdparty
