subsystem,path_from_root
EDI,/Code/Editor
PLA,/Code/Framework/AtomCore/AtomCore/Instance
PLA,/Code/Framework/AtomCore/AtomCore/std
PLA,/Code/Framework/AtomCore/AtomCore/Utils
RES,/Code/Framework/AzCore/AzCore/Asset
COR,/Code/Framework/AzCore/AzCore/AzCoreModule.cpp
COR,/Code/Framework/AzCore/AzCore/AzCoreModule.h
COR,/Code/Framework/AzCore/AzCore/base.h
COR,/Code/Framework/AzCore/AzCore/Casting
GMP,/Code/Framework/AzCore/AzCore/Component
RES,/Code/Framework/AzCore/AzCore/Compression
COR,/Code/Framework/AzCore/AzCore/Console
DEB,/Code/Framework/AzCore/AzCore/Debug
COR,/Code/Framework/AzCore/AzCore/DOM
GMP,/Code/Framework/AzCore/AzCore/EBus
COR,/Code/Framework/AzCore/AzCore/Interface
PLA,/Code/Framework/AzCore/AzCore/IO
PLA,/Code/Framework/AzCore/AzCore/IPC
PLA,/Code/Framework/AzCore/AzCore/Jobs
COR,/Code/Framework/AzCore/AzCore/JSON
COR,/Code/Framework/AzCore/AzCore/Math
COR,/Code/Framework/AzCore/AzCore/Memory
COR,/Code/Framework/AzCore/AzCore/Module
COR,/Code/Framework/AzCore/AzCore/Name
FES,/Code/Framework/AzCore/AzCore/NativeUI
COR,/Code/Framework/AzCore/AzCore/O3DEKernelConfiguration.h
COR,/Code/Framework/AzCore/AzCore/Outcome
PLA,/Code/Framework/AzCore/AzCore/Platform.cpp
PLA,/Code/Framework/AzCore/AzCore/Platform.h
PLA,/Code/Framework/AzCore/AzCore/PlatformDef.h
PLA,/Code/Framework/AzCore/AzCore/PlatformId
PLA,/Code/Framework/AzCore/AzCore/PlatformIncl.h
PLA,/Code/Framework/AzCore/AzCore/PlatformRestrictedFileDef.h
COR,/Code/Framework/AzCore/AzCore/RTTI
GMP,/Code/Framework/AzCore/AzCore/Script
GMP,/Code/Framework/AzCore/AzCore/ScriptCanvas
COR,/Code/Framework/AzCore/AzCore/Serialization
COR,/Code/Framework/AzCore/AzCore/Settings
FES,/Code/Framework/AzCore/AzCore/Slice
OMP,/Code/Framework/AzCore/AzCore/Socket
GMP,/Code/Framework/AzCore/AzCore/State
COR,/Code/Framework/AzCore/AzCore/std
COR,/Code/Framework/AzCore/AzCore/StringFunc
PLA,/Code/Framework/AzCore/AzCore/Task
PLA,/Code/Framework/AzCore/AzCore/Threading
PLA,/Code/Framework/AzCore/AzCore/Time
