subsystem,path_from_root
EDI,/Engine/Plugins/2D
SKA,/Engine/Plugins/Animation
AUD,/Engine/Plugins/AudioGameplay
AUD,/Engine/Plugins/AudioGameplayVolume
EDI,/Engine/Plugins/BlueprintFileUtils
RES,/Engine/Plugins/Bridge
LLR,/Engine/Plugins/Cameras
VFX,/Engine/Plugins/Compositing
OMP,/Engine/Plugins/Compression
SKA,/Engine/Plugins/Developer/AnimationSharing
EDI,/Engine/Plugins/Developer/CLionSourceCodeAccess
EDI,/Engine/Plugins/Developer/CodeLiteSourceCodeAccess
EDI,/Engine/Plugins/Developer/Concert
RES,/Engine/Plugins/Developer/GitSourceControl
EDI,/Engine/Plugins/Developer/KDevelopSourceCodeAccess
EDI,/Engine/Plugins/Developer/NullSourceCodeAccess
COR,/Engine/Plugins/Developer/OneSkyLocalizationService
RES,/Engine/Plugins/Developer/PerforceSourceControl
DEB,/Engine/Plugins/Developer/PixWinPlugin
RES,/Engine/Plugins/Developer/PlasticSourceControl
EDI,/Engine/Plugins/Developer/PluginUtils
EDI,/Engine/Plugins/Developer/PropertyAccessNode
DEB,/Engine/Plugins/Developer/RenderDocPlugin
EDI,/Engine/Plugins/Developer/RiderSourceCodeAccess
RES,/Engine/Plugins/Developer/SubversionSourceControl
RES,/Engine/Plugins/Developer/TextureFormatOodle
DEB,/Engine/Plugins/Developer/TraceDataFiltering
DEB,/Engine/Plugins/Developer/TraceSourceFiltering
EDI,/Engine/Plugins/Developer/VisualStudioCodeSourceCodeAccess
EDI,/Engine/Plugins/Developer/VisualStudioSourceCodeAccess
DEB,/Engine/Plugins/Developer/XcodeGPUDebuggerPlugin
EDI,/Engine/Plugins/Developer/XCodeSourceCodeAccess
EDI,/Engine/Plugins/Editor
RES,/Engine/Plugins/Enterprise
LLR,/Engine/Plugins/FastBuildController
VFX,/Engine/Plugins/FX
RES,/Engine/Plugins/Importers
EDI,/Engine/Plugins/JsonBlueprintUtilities
GMP,/Engine/Plugins/LightWeightInstancesEditor
COR,/Engine/Plugins/Media/AjaMedia
PLA,/Engine/Plugins/Media/AndroidCamera
PLA,/Engine/Plugins/Media/AndroidMedia
PLA,/Engine/Plugins/Media/AppleProResMedia
HID,/Engine/Plugins/Media/AudioCaptureTimecodeProvider
COR,/Engine/Plugins/Media/AvfMedia
RES,/Engine/Plugins/Media/AvidDNxMedia
COR,/Engine/Plugins/Media/BinkMedia
COR,/Engine/Plugins/Media/BlackmagicMedia
FES,/Engine/Plugins/Media/ElectraCDM
COR,/Engine/Plugins/Media/ElectraPlayer
COR,/Engine/Plugins/Media/ElectraSubtitles
COR,/Engine/Plugins/Media/ElectraUtil
COR,/Engine/Plugins/Media/HAPMedia
RES,/Engine/Plugins/Media/HardwareEncoders
COR,/Engine/Plugins/Media/HLMedia
COR,/Engine/Plugins/Media/ImgMedia
COR,/Engine/Plugins/Media/LinearTimecode
VFX,/Engine/Plugins/Media/MediaCompositing
COR,/Engine/Plugins/Media/MediaFrameworkUtilities
VFX,/Engine/Plugins/Media/MediaIOFramework
COR,/Engine/Plugins/Media/MediaMovieStreamer
EDI,/Engine/Plugins/Media/MediaPlayerEditor
COR,/Engine/Plugins/Media/MfMedia
COR,/Engine/Plugins/Media/PixelStreaming
COR,/Engine/Plugins/Media/TimecodeSynchronizer
COR,/Engine/Plugins/Media/WebMMedia
COR,/Engine/Plugins/Media/WmfMedia
SKA,/Engine/Plugins/MeshPainting
OMP,/Engine/Plugins/Messaging
SKA,/Engine/Plugins/MovieScene/ActorSequence
SKA,/Engine/Plugins/MovieScene/CustomizableSequencerTracks
EDI,/Engine/Plugins/MovieScene/LevelSequenceEditor
RES,/Engine/Plugins/MovieScene/MatineeToLevelSequence
LLR,/Engine/Plugins/MovieScene/MoviePipelineMaskRenderPass
LLR,/Engine/Plugins/MovieScene/MovieRenderPipeline
SKA,/Engine/Plugins/MovieScene/ReplayTracks
GMP,/Engine/Plugins/MovieScene/SequencerScripting
SKA,/Engine/Plugins/MovieScene/TemplateSequence
OMP,/Engine/Plugins/Online
DEB,/Engine/Plugins/Performance
DEB,/Engine/Plugins/RenderGraphInsights
EDI,/Engine/Plugins/Runtime/ActorLayerUtilities
PLA,/Engine/Plugins/Runtime/Advertising/IOSTapJoy
COR,/Engine/Plugins/Runtime/Analytics
PLA,/Engine/Plugins/Runtime/AndroidBackgroundService
PLA,/Engine/Plugins/Runtime/AndroidDeviceProfileSelector
PLA,/Engine/Plugins/Runtime/AndroidFileServer
PLA,/Engine/Plugins/Runtime/AndroidMoviePlayer
PLA,/Engine/Plugins/Runtime/AndroidPermission
SKA,/Engine/Plugins/Runtime/AnimationBudgetAllocator
PHY,/Engine/Plugins/Runtime/ApexDestruction
PLA,/Engine/Plugins/Runtime/AppleImageUtils
PLA,/Engine/Plugins/Runtime/AppleMoviePlayer
LLR,/Engine/Plugins/Runtime/ArchVisCharacter
GMP,/Engine/Plugins/Runtime/AssetTags
HID,/Engine/Plugins/Runtime/AudioCapture
AUD,/Engine/Plugins/Runtime/AudioModulation
AUD,/Engine/Plugins/Runtime/AudioSynesthesia
AUD,/Engine/Plugins/Runtime/AudioWidgets
PHY,/Engine/Plugins/Runtime/CableComponent
LLR,/Engine/Plugins/Runtime/CustomMeshComponent
COR,/Engine/Plugins/Runtime/DataRegistry
SKA,/Engine/Plugins/Runtime/EditableMesh/Source/EditableMesh
FES,/Engine/Plugins/Runtime/ExampleDeviceProfileSelector
GMP,/Engine/Plugins/Runtime/GameplayAbilities
SKA,/Engine/Plugins/Runtime/GeometryCache
COR,/Engine/Plugins/Runtime/GeometryProcessing
GMP,/Engine/Plugins/Runtime/GeoReferencing
RES,/Engine/Plugins/Runtime/GooglePAD
PHY,/Engine/Plugins/Runtime/HairStrands
LLR,/Engine/Plugins/Runtime/HDRIBackdrop
PLA,/Engine/Plugins/Runtime/IOSDeviceProfileSelector
PLA,/Engine/Plugins/Runtime/IOSReplayKit
PLA,/Engine/Plugins/Runtime/LinuxDeviceProfileSelector
SKA,/Engine/Plugins/Runtime/LiveLinkOvernDisplay
PLA,/Engine/Plugins/Runtime/LocationServicesAndroidImpl
