subsystem,path_from_root
GMP,/include/Urho3D/AngelScript
AUD,/include/Urho3D/Audio
COR,/include/Urho3D/Base
COR,/include/Urho3D/Container
COR,/include/Urho3D/Core
COR,/include/Urho3D/Engine
LLR,/include/Urho3D/Graphics
LLR,/include/Urho3D/GraphicsAPI
SKA,/include/Urho3D/IK
HID,/include/Urho3D/Input
COR,/include/Urho3D/IO
GMP,/include/Urho3D/LuaScript
COR,/include/Urho3D/Math
OMP,/include/Urho3D/Network
PHY,/include/Urho3D/Physics
PHY,/include/Urho3D/Physics2D
RES,/include/Urho3D/Resources
SGC,/include/Urho3D/Scene
FES,/include/Urho3D/UI
LLR,/include/Urho3D/Urho2D
GMP,/Source/Urho3D/AngelScript
AUD,/Source/Urho3D/Audio
COR,/Source/Urho3D/Base
COR,/Source/Urho3D/Container
COR,/Source/Urho3D/Core
COR,/Source/Urho3D/Engine
LLR,/Source/Urho3D/Graphics
LLR,/Source/Urho3D/GraphicsAPI
SKA,/Source/Urho3D/IK
HID,/Source/Urho3D/Input
COR,/Source/Urho3D/IO
GMP,/Source/Urho3D/LuaScript
COR,/Source/Urho3D/Math
OMP,/Source/Urho3D/Network
PHY,/Source/Urho3D/Physics
PHY,/Source/Urho3D/Physics2D
RES,/Source/Urho3D/Resources
SGC,/Source/Urho3D/Scene
FES,/Source/Urho3D/UI
LLR,/Source/Urho3D/Urho2D
SDK,/ThirdParty
