asubsystem,o3de-PHY,o3de-VFX,o3de-SDK,o3de-AUD,o3de-PLA,o3de-SGC,o3de-SKA,o3de-LLR,o3de-EDI,o3de-OMP,o3de-FES,o3de-GMP,o3de-NIL,o3de-DEB,o3de-RES,o3de-HID,o3de-COR
o3de-PHY,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1
o3de-VFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o3de-SDK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o3de-AUD,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1
o3de-PLA,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
o3de-SGC,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1
o3de-SKA,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1
o3de-LLR,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
o3de-EDI,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
o3de-OMP,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
o3de-FES,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
o3de-GMP,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
o3de-NIL,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
o3de-DEB,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
o3de-RES,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
o3de-HID,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1
o3de-COR,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
