"Response ID","Date submitted","Last page","Start language","Date started","Date last action","PARTICIPANT’S DECLARATION: I have read and understood this form. I have had the chance to ask questions and any questions have been answered. I agree to participate in this research under the conditions described.","Total time","Group time: Consent","Question time: A1"
"8","2023-08-07 16:23:18.000","1","en","2023-08-07 16:23:11.000","2023-08-07 16:23:18.000","I consent","6.29","","6.29"
"9","2023-08-07 21:09:27.000","1","en","2023-08-07 21:09:23.000","2023-08-07 21:09:27.000","I consent","3.5","","3.5"
"10","2023-08-29 18:41:02.000","1","en","2023-08-29 18:40:48.000","2023-08-29 18:41:01.000","I consent","11.210000000000001","","11.210000000000001"
"11","2023-09-05 18:27:52.000","1","en","2023-09-05 18:27:47.000","2023-09-05 18:27:52.000","I consent","5.0999999999999996","","5.0999999999999996"
"13","2023-09-05 18:34:35.000","1","en","2023-09-05 18:34:31.000","2023-09-05 18:34:35.000","I consent","3.23","","3.23"
"14","2023-09-05 18:36:02.000","1","en","2023-09-05 18:35:52.000","2023-09-05 18:36:02.000","I consent","10.220000000000001","","10.220000000000001"
"15","2023-09-07 14:04:38.000","1","en","2023-09-07 14:04:30.000","2023-09-07 14:04:36.000","I consent","5.9400000000000004","","5.9400000000000004"
"16","2023-09-08 18:28:59.000","1","en","2023-09-08 18:28:48.000","2023-09-08 18:28:58.000","I consent","9.7899999999999991","","9.7899999999999991"
"17","2023-09-23 08:20:25.000","1","en","2023-09-23 08:20:16.000","2023-09-23 08:20:24.000","I consent","6.7599999999999998","","6.7599999999999998"
"18","2023-09-27 14:03:10.000","1","en","2023-09-27 14:03:00.000","2023-09-27 14:03:09.000","I consent","7.3300000000000001","","7.3300000000000001"
"19","2023-09-28 15:58:35.000","1","en","2023-09-28 15:58:14.000","2023-09-28 15:58:34.000","I consent","17.879999999999999","","17.879999999999999"
"20","2023-10-02 19:02:37.000","1","en","2023-10-02 19:02:31.000","2023-10-02 19:02:36.000","I consent","4.96","","4.96"
"21","2023-10-05 09:18:33.000","1","en","2023-10-05 09:18:09.000","2023-10-05 09:18:32.000","I consent","23.620000000000001","","23.620000000000001"

